texto,likes,video
faltaron algunos goles pero buen resumen,0,¡TODOS los GOLES del Mundial de Clubes FIFA 2025 e
"Di María: "" yo saludé a mi flia no le pedí perdón a nadie"" jajjajajaj q grande el fideo",1366,Boca vs Benfica | Reacciones de Amigos | Mundial d
"*""Cuando el cabezazo de Otamendi entró al arco yo ya sabía que era gol""*

-Davo Xeneixe antes de comerse un traba",439,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal: "" Lo importante era divertirme """,1715,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Me gusta cuando reaccionan desde casa, se desahogan mas y madrean. En cambió desde el estadio se guardan más el enojo son más educados.
Saludos desde Colombia 🇨🇴",518,Boca vs Benfica | Reacciones de Amigos | Mundial d
Lo subieron mas rapido que Andrea Herrera Yendose jaja,1070,Boca vs Benfica | Reacciones de Amigos | Mundial d
12:20 di maría en la entrevista dijo que estaba saludando a su familia no pidiendo perdón👌,491,Boca vs Benfica | Reacciones de Amigos | Mundial d
esta el hermano de figal mirando el partido con los displi jajajaja,286,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:24 cuando vi al parecido a mati en la tribuna dije ojalá lo vean y digan que es igual jajajaj,81,Boca vs Benfica | Reacciones de Amigos | Mundial d
Riquelme: va a ser un mundial de clubes muy divertido,200,Boca vs Benfica | Reacciones de Amigos | Mundial d
"14:25 "" vamos juega rojo con el bayern JJEJEJEJEJ"" JAJAJAJAJAJ",44,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Gol de Merentiel (3:18)
Gol de Battaglia  (4:37)
Gol de Di Maria/penal (7:53) 
Gol de Otamendi (12:35)",373,Boca vs Benfica | Reacciones de Amigos | Mundial d
No me lo esperaba tan rápido,431,Boca vs Benfica | Reacciones de Amigos | Mundial d
"8:32 TODOS EN LA TRANSMISION DIJIMOS ""MIRA MATI DE LOS DISPLICENTES"" 😅",112,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal "" lo importante era divertirme """,205,Boca vs Benfica | Reacciones de Amigos | Mundial d
Figal post partido: Me hice expulsar para no cagarla contra el Bayer,96,Boca vs Benfica | Reacciones de Amigos | Mundial d
7:03 el de bigotito sabe de futbol o lo ve de espaldas? Como no va a ser penal eso jajaja entonces el de rojas a meli en 2014 no fue tampoco😂,24,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Mati en el minuto 8:10 aprox pusiste que Di Maria les pidió perdón Jajajaj , Di Maria salió a declarar que saludo a la familia , no pidió perdón 😂😂",103,Boca vs Benfica | Reacciones de Amigos | Mundial d
6:17 6:33 8:10 Mati se dio cuenta al toque del penal,8,Boca vs Benfica | Reacciones de Amigos | Mundial d
Salve! Sou um fã do Brasil palmeirense e venho acompanhando vocês desde 2018! Continuem com o trabalho fenomenal! Amo muito o conteúdo!,153,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Sou português acompanho este canal desde 2019, engraçado ver clubes de Portugal a defrontar equipas da América do Sul, infelizmente o meu Sporting Clube de Portugal não está a disputar a prova, mesmo sendo a melhor equipa Portuguesa na atualidade, mas sempre bom ver estas Partidas.",116,Boca vs Benfica | Reacciones de Amigos | Mundial d
"lo mejor del video, ver a mati en el video y en el estadio al mismo tiempo que crack",16,Boca vs Benfica | Reacciones de Amigos | Mundial d
Me gustan que se hayan alegrado los 3 y desp rapido se acuerden lo q es su equipito chiquiiiiito,6,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más rápido que figal haciéndose echar jajaj,9,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Este grupo es el mejor! Si que se divierten!  Los felicito nuevamente, especialmente por su amistad, y la forma en que viven este deporte!  👏👏👏👏👏",15,Boca vs Benfica | Reacciones de Amigos | Mundial d
6:43 Otamendi le pega al Chileno 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,6,Boca vs Benfica | Reacciones de Amigos | Mundial d
07:16 en ese momento maty sintió el verdadero terror,8,Boca vs Benfica | Reacciones de Amigos | Mundial d
5:05 que lindo le hicimos partido al Benfíca,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Ni de milagro esperaba que boca le empatara al benfica, bastante digno, la verdad. Sobretodo por la hegemonía de los equipos europeos.",25,Boca vs Benfica | Reacciones de Amigos | Mundial d
kai esta re pelado 10:34,36,Boca vs Benfica | Reacciones de Amigos | Mundial d
11:10 Tincho modo caribe.,6,Boca vs Benfica | Reacciones de Amigos | Mundial d
12:35 Marchesin rifando los 3 puntos que tenian adentro... ADN Bostero 🤣🤣🤣🤣,5,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Partidazo de boca, saludos desde Ecuador!!",20,Boca vs Benfica | Reacciones de Amigos | Mundial d
El termo ese que llevaron diciendo no fue penal 😂😂Dale flaco sácate la camiseta para opinar no podes negar lo que esta claro !! Kai dale vos tbn diciendo chocan 😂😂,35,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que pecheada legendaria que nos mandamos ayer !!!,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
15:26 jeje no ganaron,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
Apoyo total a todos los equipos sudamericanos..,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
fua q rapido lo subieron. gracias mati!!!,40,Boca vs Benfica | Reacciones de Amigos | Mundial d
Esperaba tanto este video 😅😅😅 que manera de reírme 😂😂😂,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
Esto se va a descontrolaaaaar!! 💙💛💙,28,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:24 gemelo de mati 🫶🏻🫶🏻😍😍😍,2,Boca vs Benfica | Reacciones de Amigos | Mundial d
"min 6:50 ""Chocan las piernas"" mamadera que hay que ser tronco para tirar esa...",11,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:23 JAAJJAAJAJ TE JURO Q CUANDO LO VI EN LA TELE FLASHE Q ERA MATI,2,Boca vs Benfica | Reacciones de Amigos | Mundial d
12:34 ¿Se estaba ahogando?? Jajajajaja.,17,Boca vs Benfica | Reacciones de Amigos | Mundial d
"14:37 ""Vamos, juega Rojo contra el Bayern"" jjajajj",2,Boca vs Benfica | Reacciones de Amigos | Mundial d
Mati puso la ft de di María pidiendo perdón pero si María salió a desmentir dps JAJAJAJAJA,41,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Cuando ota metio el gol, se escuchaba la hinchada de benfica, que conste que los silencio y los puso en su lugar.",1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Mati querido Di Maria saludo a la familia, no pidió perdón. Gracias por subir el video tan rápido.",30,Boca vs Benfica | Reacciones de Amigos | Mundial d
Es increíble el cambio de boca y el plantel como jugo contra el Benfica es impresionante,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Mas rápido que Riber haciendo la épica contra los japoneses.,6,Boca vs Benfica | Reacciones de Amigos | Mundial d
Griyen el gol de Otamendi Mati y Kai es de la selección 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:05 ÉL MISMO DIJO QUE NO PIDIÓ PERDON NO VENDAN HUMO JAJSJAJSJA,3,Boca vs Benfica | Reacciones de Amigos | Mundial d
Sos lo mas grande de Argentina!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Fue un partido divertido,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
Gran video como siempre chicos... 👏🏽⚽. Muy buena la inclusión del perrito 👏🏽,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Te empató un equipo diminuto de Europa y con 10 😂😂,7,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que felices q fuimos 🥲,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal: si no lo veo, no me expulsa",10,Boca vs Benfica | Reacciones de Amigos | Mundial d
"buena frase de facu ,,hay que salir a comerselos ..demostrar que sudamerica somos mas  que europa",1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Igual para lo que venia jugando boca aqui jugo muy bien, se nota el cambio con Russo",14,Boca vs Benfica | Reacciones de Amigos | Mundial d
11:04 llega primero a la pelota jajajjaja,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
No llegas nunca Otamendi... 3:43  llego al empate Burrroo..!,7,Boca vs Benfica | Reacciones de Amigos | Mundial d
Saludos desde México ❤,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Figal: Me expulso ahora para que no me puteen en el partido contra el Bayer 😂,12,Boca vs Benfica | Reacciones de Amigos | Mundial d
como los displi no estan en el mundial las marcas llevan a cada muerto estos son los verdaderos inchas,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
entre boca y benfica el equipo menos goleado clasifica como 2do,8,Boca vs Benfica | Reacciones de Amigos | Mundial d
Bien esa elegancia 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Facu celebrando un empate de boca sabiendo que pensaban que boca iba a perder 3-0 en el debut,29,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Las reacciones de Mati ante las andanzas de Herrera son geniales, me representa jajajajjaja",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Por qué sacaron el error del arquero de boca ? Mmmmmmmmmmmm😮😮😮😮😮😮,3,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Que bueno que no hicieron la reacción en la cancha, es más divertido cuando se juntan en la baticueva todos juntos 😅",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Buen partido de Boca, lástima que el arquero regalo ese corner que vino el gol de Ottamendi. Saludos desde Perú y dale U",4,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Vamoo, el vídeo que estuve esperando todo el día ayer a qué lo suban😎🙌🏻",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
riquelmate contra el Bayern: va a ser una humillada divertida,5,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Que grande los displicentes, entendieron todas las decisiones arbitrales 👏🏻👏🏻👏🏻",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Mati el unico de boca que es objetivo cuando habla,5,Boca vs Benfica | Reacciones de Amigos | Mundial d
jajajajajajajajajsj pensaron q les pidió perdón dimaria ajajausjuauauauausuaua,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
00:55 pronosticaba los goles,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:23 El clon de Mati,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que grande OTAAA!!!!,5,Boca vs Benfica | Reacciones de Amigos | Mundial d
Son unos crack 👏👏👏,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
6:38 ese muchacho no sabe nada de fútbol,11,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que grande Yudco reaccionando con los displicentes,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Minuto 6:10 OLE, OLE, OLE
3 DORITOS DESPUÉS 2 a 2",3,Boca vs Benfica | Reacciones de Amigos | Mundial d
que videazo!!! y los partidos del mundial ppffff una belleza de partidos!!!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
No soy de boca pero célebre los goles de boca a esos europeos !,4,Boca vs Benfica | Reacciones de Amigos | Mundial d
La reacción que todo esperaban,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
13:12 y ese que dice? Si ellos también gritan los goles de otros y lo peor de todo es que se ponen estrellitas en el esxudo oor logros ajenos,7,Boca vs Benfica | Reacciones de Amigos | Mundial d
Matias jajjaja el alma de los videos😅,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Los displicentes siendo ellos 4 es el prime, dejen de invitar invitados en partidos importantes viejo.",10,Boca vs Benfica | Reacciones de Amigos | Mundial d
Comenzó como boca 2007 y terminó como boca desde 2025,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Penal a Otamendi... Benfica 1-2. Goooolllll de Otamendi, Benfica 2 - 2. Já, já, já!! Los 2 goles de Benfica gracias a Otamendi.",3,Boca vs Benfica | Reacciones de Amigos | Mundial d
es increible como siempre estamos haciendo bien las cosas y por la maña del destino siempre se nos escapa,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
A QUE HORA EL DE RIVER VIEJO?? SIEMPRE TARDE LOCO,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Ahora entiendo perfectamente a Mati, soy fan de ustedes desde hace años y siempre veo sus reacciones, veía las reacciones y solo me reía de boca y pensaba que exageraban con los pases, Velasco, Figal, ahora que los vi por primera vez es una desesperación enorme jajaja",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Penalazo el de figal, no era offside 😂 los banco displis",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:22 DIJERON LO MISMO QUE YO JAJAJAJJA,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Está muy lindo esta mundial loko , estaremos en un momento histórico  del nacimiento de un nuevo campeonato de mundo y estas los dos más grandes de argentina. A mi parecer si vamos Sudamérica eduqueee . ❤",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"*Lo callado del principio y el miedo notorio de Facu al final, con su suspiro de tranquilidad diciendo ""No ganaron eh""*",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Como se siente cuando un grito de gol es genuino jajaj...,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Me gusta que mati siempre es el mas objetivo de todos,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Espectacular reaccion!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"De los 4 integrantes de los displicentes, mati es el mas maduro y serio jsjs ❤",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Lo peor es que a los que aplaude al principio son los que se lo empatan🤣🤣,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más rápido el video que la salida de Figal 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
LA REACCION QUE TODOS ESPERABAMOS,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Creo que es la 1era vez que escucho a facu valorar la entrega de boca. Crack facu,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"""Un empate en el debut del mundial de Clubes vale mas que 7 Libertadores"".

Juan Roman Polentelme.",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Hay que felicitar a Miguel Angel Ruso de los mejores dt del fulbo argentino reviviendo muertos siempre es algo de locos,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Siempre esperando la reacción de los displi,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que lindo verlos festejar y al final siempre terminan igual 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
El “No ganaron” final lo dice como un alivio jajajajajaj,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Primera épica reacción.,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"-Jajaja
-De que te ríes?
-Casi te gano",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Estuve esperando esto 😂😂😂😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"que pasó con ""Sho la pongo toda""???",1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Primero felicidades por los 2 equipos espero que le vayan re bien en el mundial de clubes y conseguir más hinchas en otro club de un país  y los felicito los displicentes por hacer el mundialito de clubes y felicitaciones el campeón del mundialito de clubes,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
como grita bigote jajajajajajajajjajaaj,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
😂😂😂😂contra el oklan gol del profe de religión 😂😂😂no se pude ser mas chiquito,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Una grata sorpresa verlo tan pronto ❤❤❤,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Increíble figal mientras salía también se gritaba desde el sillón de la displicueva...,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal: ""mi mision era hacer el partido divertido""",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
El hobbit bostero invitado está más sobreactuado que Echarri,2,Boca vs Benfica | Reacciones de Amigos | Mundial d
Cuidense de las placas muchachos!!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
aajaajaja el que llego con el traje entendio todo 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"""Sanches con S encima, aprendé a escribir"" jajajaj",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal se hizo echar y se fue a ver cn los displi
0:27",1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Soy de Palmeiras y apoyaré todos los clubes de Sudamerica en esta Copa del Mundo. ¡Aguante Sudamerica!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"BANCO LAS REACCIONES A ESTA HORA, MATI LCDTM POR FIN GRACIAS TE AMO",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Facu sos un crack jajajajaj un cago de risa 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Que festejo pegaron eh 😂, hace tiempo no los veía festejar así con boca",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
nose si son más rápidos ellos para subir el video o Ander Herrera para lesionarse,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"3:19 gol de merentiel    
El beast",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
No puede ser más linda la camiseta nueva de boca..,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Aún no puedo creer lo que hizo Marchesin,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Sou brasileiro, mas Boca e River com certeza são os 2 maiores times da américa. 2 timaços mundiais!",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
increíble como se instaló que pidió perdón el fideo y el chabon estaba saludando a la familia 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Anda facu sos un decendido total hoy le hacen 3 goles,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal: ""Lo importante es divertirse""",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Facu: no ganaron , no ganaron , no ganaron !! 😂😂 re cargoso",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Empezamos ganando como lo grandes que somos y terminamos como lo mal que veniamos jugando.,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"8:04 Mati, Por las dudas ya salió a decir Di María que no pidió perdón nada, que estaba saludando a la familia nomás 🤣",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"""Deja de toma mate"" se viene crossover? Jajaj",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Si ganaban lo subías ayer al vídeo, pecho frio 🥶",1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Me puse a mirar el video de vuelta y cortaron la parte donde marchesin hace el corner y mati lo putea jajajaja,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal:""hago mi papel en cada partido""sale expulsado",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Se acabó la intro fantasma 😭🤣🙏😎,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
que equipo enorme,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"""30 personas tincho te pasaste jajaja",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
soy yo o en el minuto 11:09 tincho se volvio chocolate jaja,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más chico que Facu festejando gol ajeno!!!,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
llegue más rápido que Otamendi al primer palo,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más rápido que Ander Herrera rompiéndose antes de los 20 minutos...,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Facu:!!EL OTA EL OTA mientras Tincho alado:*aplaude,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"""Este mundial de clubes será muy divertido""",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
11:39 la mufa intacta,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
VAMOS BOCAA VIEJO!!!! 🔵🟡🔵,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Mas rápido que Herrera lesionado😅,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Hasta el mismo di maria dijo que no pidió disculpas, que solo estaba saludando a su familia 😂😂😂",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Como se nos escapó lpm,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Yo creo el canal, pongo el mail todo, pero nunca me imaginé lo que iba a venir después",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Resulta que estaba saludando a su familia y no pidiendo perdón JAJAJJS,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más rápido que Otamendi gritándole gol a Boca,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Riquelme: lo importante no es competir sino divertirse,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Este kai siempre que dice algo es tremendo mufa 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Pobre perro, se quería ir😢😢",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
No caigo todavia,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
"1:00 La carita de Doha ""saquenme de aca, no aguanto mas este frio""  2:02 Se liberó Doha....",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Más rápido que Figal haciéndose echar,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Sin duda este formato de mundial con mata mata les favorece a los equipos chicos 😂😅,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
En el 2 gol de boca Facu y Tincho no sabía lo que estaba pasando JAJAJAJAJA,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Va a ser un mundial divertido,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Riquelme: ""va a ser un año divertido 😊""",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
El video duro mas que Herrera en partido.,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Yo pongo el nombre, creo el canal",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Por que quitaron la parte donde marchesin pierde la pelota? En las primeras vistas si estaba ahora que lo vuelvo a ver ya no está,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Llenamos dice 😂😂😂😂😂  que cara duras,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
jajjaaj pensé q iban a poner al mantequín mandando la pelota al córner,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
De verdad cambiaron la intro de los videos? Quiero llorar ☹️,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"jugaron como nunca, terminaron como siempre!!! 😂😂😂",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Habia un clon de Mati en EE.UU JSJSJSJS 8:22,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
AJAJAAJAJA ayer cuando estaba viendo el partido tambien pense que era mati en la tribuna,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
literal enserio ❤😛❤️🤍❤️,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Lo llenamos en todo lados?? 😂 Más vacía que mi casa jajajajaj,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Primera vez que veo que Mati festeja goles de boca en dos años,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Mati pensé que habías ido a la cancha, en la transmisión de dazn unos segundos antes de que termine el primer tiempo aparecía alguien parecido a vos",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Lo alibiado que termino Facu , se le llenó la cola d preguntas ! Jajajaja q bronca Lpm",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"lo quiero ver a burrontiel decia jajaja, gracias facu",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que grande Boca . Partidazo.,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Que lindo es ver a Mati enojado.,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Cuando estaba viendo el partido tambien dije que era mati el que estaba en la tribuna jajaj,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
No festejar antes de tiempo 😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Nunca creí que vería a un jugador que se lesione más que Gago, Ander perrera un diferente",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
juro que cuando vi en vivo pense q era mati ajajajajjaj es igual,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Q lastima q no fueron a EEUU. Sería genial q reaccionen en la cancha,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"El petiso de boca es un Boby bárbaro, aguante los displicente.",0,Boca vs Benfica | Reacciones de Amigos | Mundial d
Mas rápido que las piernas de Herrera lesionándose,1,Boca vs Benfica | Reacciones de Amigos | Mundial d
Va Hacer un año divertido Jajajajajajaja 😂😂😂,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
me sorprendió este boca jugó muy bien lástima que teníamos el partido ganado,0,Boca vs Benfica | Reacciones de Amigos | Mundial d
"No jadas cerote 
Puro PSG 😂",0,PSG 4-0 Real Madrid #reacciones #goles #mundialdec
"Bono es un crack, Al Hilal trae un equipazo que podría competir por títulos en cualquier liga top. 🔥🔥",455,Manchester City vs Al Hilal (3-4) | Resumen | High
"El Al Hilal lo aceptes o no ya tiene mucha experiencia jugando mundial de clubes, por eso no se achica contra campeones internacionales.",225,Manchester City vs Al Hilal (3-4) | Resumen | High
Septiembre de 2025... Viendo este resumen porque quise nuevamente recordar uno de los mejores partidos de fútbol de la historia (para mí y que yo he vistoen vivo),324,Manchester City vs Al Hilal (3-4) | Resumen | High
"haber visto esto con mi padre y con mi madre que a la que ni le gusta el fútbol, ha sido invaluable 🙏🏽",22,Manchester City vs Al Hilal (3-4) | Resumen | High
"De los mejores partidos de la historia. Sin duda, el mejor del mundial de clubes",12,Manchester City vs Al Hilal (3-4) | Resumen | High
"No pues con razón a Cristiano se le complica en aquella liga, estos vatos si traen.",111,Manchester City vs Al Hilal (3-4) | Resumen | High
"Ya entendí porque a Cristiano Ronaldo se le hace tan difícil ganar la Liga Saudi, lo que juega este equipo 😲.",371,Manchester City vs Al Hilal (3-4) | Resumen | High
"9:28 la definición de lo que le hizo el Al-Hilal al City la hizo este aficionado, un crack este men",29,Manchester City vs Al Hilal (3-4) | Resumen | High
من سوريا مبروك الفوز لنادي الهلال بالتوفيق في المباريات القادمه ⚽️🎉,93,Manchester City vs Al Hilal (3-4) | Resumen | High
"Viendo denuevo este partido en 2026, uno de los mejores partidos que yo e visto en vivo, lo que paro Bounou ese dia fue descomunal y siempre recordaremos a DAZN por transmitir todo el mundial de clubes",9,Manchester City vs Al Hilal (3-4) | Resumen | High
Al hilal Saudi Arabia 🎉👍🇸🇦,39,Manchester City vs Al Hilal (3-4) | Resumen | High
Que partidazo de Bono 😮,444,Manchester City vs Al Hilal (3-4) | Resumen | High
02:01 claro ejemplo de nunca rendirse,20,Manchester City vs Al Hilal (3-4) | Resumen | High
Sorpresa??? Es un equipaso Al Hilal...y lo demostró,55,Manchester City vs Al Hilal (3-4) | Resumen | High
Por favor un minuto de silencio para los que no pudieron ver lo que hasta hoy ha sido el mejor partido del mundial de clubes...PAR-TI-DA-ZO!!!!!,384,Manchester City vs Al Hilal (3-4) | Resumen | High
"El partido se resume en: 

el show de Bono",162,Manchester City vs Al Hilal (3-4) | Resumen | High
"Al Hilal deserves to win. They gave a world-class performance. They have big names in the squad, and they also have a top-level goalkeeper.",354,Manchester City vs Al Hilal (3-4) | Resumen | High
Se rieron de mi comandante cuando dijo que los equipos arabes le podian competir a los europeos..,141,Manchester City vs Al Hilal (3-4) | Resumen | High
Malcom papeoandose al City de Guardiola y Lamine y Raphinha en su casa intentnado vencer a Al-Shofa que bonito es el fútbol 😂😂😂😂😂,14,Manchester City vs Al Hilal (3-4) | Resumen | High
"I guess,Cristiano Ronaldo's efforts of inspiring and promoting Football in Saudi Arabia,are really paying off big time!Well done Al Hilal!Make CR7 very proud of you!",19,Manchester City vs Al Hilal (3-4) | Resumen | High
